doc_id,doc_type,dataset,domain,language,page_count,eff_pages,page_ranges,layout_tags,api_key,corpus_path,src_path
admin_industry__7c3f6204b3241f142f0f8eb8e1fefe7a,admin_industry,mmdocir,Administration/Industry file,en,15,15,,,C,corpus\admin_industry\admin_industry__7c3f6204b3241f142f0f8eb8e1fefe7a.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\7c3f6204b3241f142f0f8eb8e1fefe7a.pdf
admin_industry__edb88a99670417f64a6b719646aed326,admin_industry,mmdocir,Administration/Industry file,en,20,20,,,B,corpus\admin_industry\admin_industry__edb88a99670417f64a6b719646aed326.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\edb88a99670417f64a6b719646aed326.pdf
brochure__BRO-GL-MMONEY,brochure,mmdocir,Brochure,en,16,16,,,A,corpus\brochure\brochure__BRO-GL-MMONEY.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\BRO-GL-MMONEY.pdf
brochure__Campaign_038_Introducing_AC_Whitepaper_v5e,brochure,mmdocir,Brochure,en,28,28,,,A,corpus\brochure\brochure__Campaign_038_Introducing_AC_Whitepaper_v5e.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\Campaign_038_Introducing_AC_Whitepaper_v5e.pdf
brochure__NUS-Business-School-BBA-Brochure-2024,brochure,mmdocir,Brochure,en,24,24,,,B,corpus\brochure\brochure__NUS-Business-School-BBA-Brochure-2024.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\NUS-Business-School-BBA-Brochure-2024.pdf
brochure__csewt7zsecmmbzjufbyx-signature-24d91a254426c21c3079384270e1f138dc43a271cfe15d6d520d68205855b2a3-poli-150306115,brochure,mmdocir,Brochure,en,65,50,1-50,,B,corpus\brochure\brochure__csewt7zsecmmbzjufbyx-signature-24d91a254426c21c3079384270e1f138dc43a271cfe15d6d520d68205855b2a3-poli-150306115.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\csewt7zsecmmbzjufbyx-signature-24d91a254426c21c3079384270e1f138dc43a271cfe15d6d520d68205855b2a3-poli-150306115347-conversion-gate01.pdf
financial_report_en__AMAZON_2017_10K,financial_report_en,mmdocir,Financial report,en,85,50,1-50,,C,corpus\financial_report_en\financial_report_en__AMAZON_2017_10K.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\AMAZON_2017_10K.pdf
financial_report_en__ASX_AJY_2020,financial_report_en,mmdocir,Financial report,en,9,9,,,A,corpus\financial_report_en\financial_report_en__ASX_AJY_2020.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\ASX_AJY_2020.pdf
financial_report_en__NETFLIX_2015_10K,financial_report_en,mmdocir,Financial report,en,72,50,1-50,,B,corpus\financial_report_en\financial_report_en__NETFLIX_2015_10K.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\NETFLIX_2015_10K.pdf
financial_report_en__NYSE_CVX_2021,financial_report_en,mmdocir,Financial report,en,116,50,1-50,,B,corpus\financial_report_en\financial_report_en__NYSE_CVX_2021.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\NYSE_CVX_2021.pdf
financial_report_en__NYSE_IBM_2020,financial_report_en,mmdocir,Financial report,en,146,50,1-50,,C,corpus\financial_report_en\financial_report_en__NYSE_IBM_2020.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\NYSE_IBM_2020.pdf
financial_report_en__NYSE_SHLX_2020,financial_report_en,mmdocir,Financial report,en,199,50,1-50,,B,corpus\financial_report_en\financial_report_en__NYSE_SHLX_2020.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\NYSE_SHLX_2020.pdf
financial_report_en__NYSE_UNH_2020,financial_report_en,mmdocir,Financial report,en,100,50,1-50,,A,corpus\financial_report_en\financial_report_en__NYSE_UNH_2020.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\NYSE_UNH_2020.pdf
financial_report_en__OTC_LVMUY_2021,financial_report_en,mmdocir,Financial report,en,166,50,1-50,,A,corpus\financial_report_en\financial_report_en__OTC_LVMUY_2021.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\OTC_LVMUY_2021.pdf
financial_research_zh__AP202601131816964706,financial_research_zh,financial,finance_semiconductor,ch,30,30,,charts;tables;text,A,corpus\financial_research_zh\financial_research_zh__AP202601131816964706.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202601131816964706.pdf
financial_research_zh__AP202601231818309962,financial_research_zh,financial,finance_semiconductor,ch,10,10,,charts;tables;text,B,corpus\financial_research_zh\financial_research_zh__AP202601231818309962.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202601231818309962.pdf
financial_research_zh__AP202601261818429332,financial_research_zh,financial,finance_semiconductor,ch,15,15,,charts;tables;text,B,corpus\financial_research_zh\financial_research_zh__AP202601261818429332.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202601261818429332.pdf
financial_research_zh__AP202602031819636684,financial_research_zh,financial,finance_semiconductor,ch,13,13,,charts;tables;text,A,corpus\financial_research_zh\financial_research_zh__AP202602031819636684.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202602031819636684.pdf
financial_research_zh__AP202602131819911963,financial_research_zh,financial,finance_semiconductor,ch,11,11,,charts;tables;text,C,corpus\financial_research_zh\financial_research_zh__AP202602131819911963.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202602131819911963.pdf
financial_research_zh__AP202602231819983763,financial_research_zh,financial,finance_semiconductor,ch,3,3,,charts;tables;text,B,corpus\financial_research_zh\financial_research_zh__AP202602231819983763.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202602231819983763.pdf
financial_research_zh__AP202602231819984904,financial_research_zh,financial,finance_semiconductor,ch,101,50,1-50,charts;tables;text,A,corpus\financial_research_zh\financial_research_zh__AP202602231819984904.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202602231819984904.pdf
financial_research_zh__AP202603191820638710,financial_research_zh,financial,finance_semiconductor,ch,4,4,,charts;tables;text,B,corpus\financial_research_zh\financial_research_zh__AP202603191820638710.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202603191820638710.pdf
financial_research_zh__AP202604071821043867,financial_research_zh,financial,finance_semiconductor,ch,2,2,,charts;tables;text,A,corpus\financial_research_zh\financial_research_zh__AP202604071821043867.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202604071821043867.pdf
financial_research_zh__AP202605111822168904,financial_research_zh,financial,finance_semiconductor,ch,24,24,,charts;tables;text,C,corpus\financial_research_zh\financial_research_zh__AP202605111822168904.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202605111822168904.pdf
financial_research_zh__AP202605181822396398,financial_research_zh,financial,finance_semiconductor,ch,8,8,,charts;tables;text,A,corpus\financial_research_zh\financial_research_zh__AP202605181822396398.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202605181822396398.pdf
financial_research_zh__AP202605251822849204,financial_research_zh,financial,finance_semiconductor,ch,18,18,,charts;tables;text,C,corpus\financial_research_zh\financial_research_zh__AP202605251822849204.pdf,<DATASET_ROOT>\datasets\financial_semiconductor_reports_v1\raw\zh\eastmoney\AP202605251822849204.pdf
form__irs-f1040,form,pdf_corpus,government_tax,en,2,2,,forms;tables;text,B,corpus\form\form__irs-f1040.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\irs-f1040.pdf
form__irs-f1120,form,pdf_corpus,government_tax,en,6,6,,forms;tables;text,C,corpus\form\form__irs-f1120.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\irs-f1120.pdf
form__irs-p17,form,pdf_corpus,government_tax,en,142,50,1-50,forms;tables;text,C,corpus\form\form__irs-p17.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\irs-p17.pdf
form__irs-p463,form,pdf_corpus,government_tax,en,62,50,1-50,forms;tables;text,B,corpus\form\form__irs-p463.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\irs-p463.pdf
form__irs-p583,form,pdf_corpus,government_tax,en,28,28,,forms;tables;text,B,corpus\form\form__irs-p583.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\irs-p583.pdf
government__21-00620-INLSR-Vol2_Report-FINAL,government,mmdocir,Government,en,200,50,1-50,,C,corpus\government\government__21-00620-INLSR-Vol2_Report-FINAL.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\21-00620-INLSR-Vol2_Report-FINAL.pdf
government__FBS_CDP_Public,government,mmdocir,Government,en,20,20,,,C,corpus\government\government__FBS_CDP_Public.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\FBS_CDP_Public.pdf
government__FBS_CT_Public,government,mmdocir,Government,en,24,24,,,C,corpus\government\government__FBS_CT_Public.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\FBS_CT_Public.pdf
government__FBS_OFM_10JAN2022_PUBLIC,government,mmdocir,Government,en,17,17,,,A,corpus\government\government__FBS_OFM_10JAN2022_PUBLIC.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\FBS_OFM_10JAN2022_PUBLIC.pdf
government__JRS-AF_JRS_FINAL_Formatted_Public-Version,government,mmdocir,Government,en,32,32,,,C,corpus\government\government__JRS-AF_JRS_FINAL_Formatted_Public-Version.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\JRS-AF_JRS_FINAL_Formatted_Public-Version.pdf
government__USCOURTS-nmd-1_24-cr-00032-8,government,mmdocir,Government,en,3,3,,,C,corpus\government\government__USCOURTS-nmd-1_24-cr-00032-8.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\USCOURTS-nmd-1_24-cr-00032-8.pdf
guidebook__8dfc21ec151fb9d3578fc32d5c4e5df9,guidebook,mmdocir,Guidebook,en,18,18,,,B,corpus\guidebook\guidebook__8dfc21ec151fb9d3578fc32d5c4e5df9.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\8dfc21ec151fb9d3578fc32d5c4e5df9.pdf
guidebook__bdf54dxa,guidebook,mmdocir,Guidebook,en,54,50,1-50,,A,corpus\guidebook\guidebook__bdf54dxa.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\bdf54dxa.pdf
guidebook__guojixueshengshenghuozhinanyingwen9.1,guidebook,mmdocir,Guidebook,en,40,40,,,B,corpus\guidebook\guidebook__guojixueshengshenghuozhinanyingwen9.1.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\guojixueshengshenghuozhinanyingwen9.1.pdf
guidebook__t480_ug_en,guidebook,mmdocir,Guidebook,en,170,50,1-50,,B,corpus\guidebook\guidebook__t480_ug_en.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\t480_ug_en.pdf
law__2021687414,law,mmdocir,Laws,en,199,50,1-50,,A,corpus\law\law__2021687414.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\2021687414.pdf
law__PLAW-118publ1,law,pdf_corpus,government_legislation,en,1,1,,text,C,corpus\law\law__PLAW-118publ1.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ1.pdf
law__PLAW-118publ11,law,pdf_corpus,government_legislation,en,2,2,,text,C,corpus\law\law__PLAW-118publ11.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ11.pdf
law__PLAW-118publ128,law,pdf_corpus,government_legislation,en,1,1,,text,C,corpus\law\law__PLAW-118publ128.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ128.pdf
law__PLAW-118publ158,law,pdf_corpus,government_legislation,en,52,50,1-50,text,C,corpus\law\law__PLAW-118publ158.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ158.pdf
law__PLAW-118publ22,law,pdf_corpus,government_legislation,en,14,14,,text,B,corpus\law\law__PLAW-118publ22.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ22.pdf
law__PLAW-118publ38,law,pdf_corpus,government_legislation,en,3,3,,text,A,corpus\law\law__PLAW-118publ38.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ38.pdf
law__PLAW-118publ39,law,pdf_corpus,government_legislation,en,1,1,,text,A,corpus\law\law__PLAW-118publ39.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ39.pdf
law__PLAW-118publ68,law,pdf_corpus,government_legislation,en,2,2,,text,A,corpus\law\law__PLAW-118publ68.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ68.pdf
law__PLAW-118publ92,law,pdf_corpus,government_legislation,en,4,4,,text,A,corpus\law\law__PLAW-118publ92.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\govinfo\PLAW-118publ92.pdf
news__news_combined,news,mmdocir,News,en,50,50,,,C,corpus\news\news__news_combined.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\news_combined.pdf
policy__access_review,policy,pdf_corpus,it_governance,en,3,3,,tables;text,B,corpus\policy\policy__access_review.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\synthetic\access_review.pdf
policy__customer_escalation,policy,pdf_corpus,customer_success,en,3,3,,tables;text,A,corpus\policy\policy__customer_escalation.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\synthetic\customer_escalation.pdf
policy__procurement_policy,policy,pdf_corpus,procurement,en,3,3,,tables;text,C,corpus\policy\policy__procurement_policy.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\synthetic\procurement_policy.pdf
policy__vendor_onboarding,policy,pdf_corpus,procurement,en,3,3,,tables;text,B,corpus\policy\policy__vendor_onboarding.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\synthetic\vendor_onboarding.pdf
research_report__05-03-18-political-release,research_report,mmdocir,Research report / Introduction,en,17,17,,,C,corpus\research_report\research_report__05-03-18-political-release.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\05-03-18-political-release.pdf
research_report__Independents-Report,research_report,mmdocir,Research report / Introduction,en,23,23,,,A,corpus\research_report\research_report__Independents-Report.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\Independents-Report.pdf
research_report__PP_2019.01.17_Trump-economy_FINAL2,research_report,mmdocir,Research report / Introduction,en,28,28,,,A,corpus\research_report\research_report__PP_2019.01.17_Trump-economy_FINAL2.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\PP_2019.01.17_Trump-economy_FINAL2.pdf
research_report__PRE_2022.09.29_NSL-politics_REPORT,research_report,mmdocir,Research report / Introduction,en,108,50,1-50,,A,corpus\research_report\research_report__PRE_2022.09.29_NSL-politics_REPORT.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\PRE_2022.09.29_NSL-politics_REPORT.pdf
research_report__earlybird-110722143746-phpapp02_95,research_report,mmdocir,Research report / Introduction,en,41,41,,,A,corpus\research_report\research_report__earlybird-110722143746-phpapp02_95.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\earlybird-110722143746-phpapp02_95.pdf
slides_tutorial__0e94b4197b10096b1f4c699701570fbf,slides_tutorial,mmdocir,Tutorial/Workshop,en,15,15,,,A,corpus\slides_tutorial\slides_tutorial__0e94b4197b10096b1f4c699701570fbf.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\0e94b4197b10096b1f4c699701570fbf.pdf
slides_tutorial__ddoseattle-150627210357-lva1-app6891_95,slides_tutorial,mmdocir,Tutorial/Workshop,en,63,50,1-50,,C,corpus\slides_tutorial\slides_tutorial__ddoseattle-150627210357-lva1-app6891_95.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\ddoseattle-150627210357-lva1-app6891_95.pdf
slides_tutorial__digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95,slides_tutorial,mmdocir,Tutorial/Workshop,en,196,50,1-50,,A,corpus\slides_tutorial\slides_tutorial__digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95.pdf
slides_tutorial__efis-140411041451-phpapp01_95,slides_tutorial,mmdocir,Tutorial/Workshop,en,32,32,,,B,corpus\slides_tutorial\slides_tutorial__efis-140411041451-phpapp01_95.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\efis-140411041451-phpapp01_95.pdf
tech_report__nasa-ntrs-20030015752,tech_report,pdf_corpus,technical_report,en,10,10,,figures;text,C,corpus\tech_report\tech_report__nasa-ntrs-20030015752.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\academic\nasa-ntrs-20030015752.pdf
tech_report__nasa-ntrs-20160003607,tech_report,pdf_corpus,technical_report,en,38,38,,figures;text,C,corpus\tech_report\tech_report__nasa-ntrs-20160003607.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\academic\nasa-ntrs-20160003607.pdf
